transaction_id,merchant_id,customer_id,amount,payment_method,status,hour,retry_count,checkout_started,checkout_completed,revenue,revenue_lost
TXN000000,M004,C003139,2055.32,CARD,captured,10,0,1,1,2055.32,0.0
TXN000001,M005,C009524,2021.03,CARD,captured,23,1,1,1,2021.03,0.0
TXN000002,M003,C003191,3372.21,UPI,failed,6,1,1,0,0.0,3372.21
TXN000003,M005,C000853,240.98,UPI,captured,18,1,1,1,240.98,0.0
TXN000004,M005,C007354,3420.32,NETBANKING,captured,22,0,1,1,3420.32,0.0
TXN000005,M002,C007238,3264.24,WALLET,captured,22,1,1,1,3264.24,0.0
TXN000006,M003,C008949,3522.48,CARD,captured,9,1,1,1,3522.48,0.0
TXN000007,M003,C001695,1473.94,UPI,captured,7,0,1,1,1473.94,0.0
TXN000008,M003,C009500,1599.48,UPI,captured,10,1,0,0,1599.48,0.0
TXN000009,M005,C002596,1593.5,CARD,captured,23,0,1,1,1593.5,0.0
TXN000010,M004,C005468,645.22,UPI,captured,19,0,1,1,645.22,0.0
TXN000011,M003,C001219,667.53,CARD,captured,15,0,1,1,667.53,0.0
TXN000012,M005,C005900,1604.55,UPI,captured,16,0,1,1,1604.55,0.0
TXN000013,M002,C008676,1097.42,CARD,captured,9,0,1,1,1097.42,0.0
TXN000014,M004,C004684,2375.32,UPI,captured,15,1,1,1,2375.32,0.0
TXN000015,M002,C007448,1007.05,CARD,captured,12,0,1,1,1007.05,0.0
TXN000016,M004,C008001,413.66,CARD,captured,6,2,0,0,413.66,0.0
TXN000017,M005,C007760,429.4,UPI,captured,16,0,1,1,429.4,0.0
TXN000018,M001,C009314,728.5,UPI,captured,22,2,1,1,728.5,0.0
TXN000019,M004,C000282,2394.44,UPI,captured,18,0,1,1,2394.44,0.0
TXN000020,M002,C008822,884.12,CARD,captured,2,0,0,0,884.12,0.0
TXN000021,M005,C002467,1700.67,CARD,captured,10,0,1,1,1700.67,0.0
TXN000022,M004,C004176,351.49,NETBANKING,captured,15,3,1,1,351.49,0.0
TXN000023,M001,C004922,1524.82,CARD,captured,7,0,1,1,1524.82,0.0
TXN000024,M001,C006557,1380.53,UPI,captured,0,0,1,1,1380.53,0.0
TXN000025,M003,C002382,3470.88,WALLET,captured,6,1,1,1,3470.88,0.0
TXN000026,M003,C002937,1515.34,CARD,captured,12,0,1,1,1515.34,0.0
TXN000027,M002,C009544,2465.85,UPI,captured,3,1,1,1,2465.85,0.0
TXN000028,M004,C006907,6352.44,CARD,captured,11,3,1,1,6352.44,0.0
